time,phase,truth_px,truth_py,truth_pz,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_roll,est_pitch,est_yaw,std_px,std_py,std_pz,std_vx,std_vy,std_vz,std_roll,std_pitch,std_yaw,err_px,err_py,err_pz,err_norm
0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034937,0.000000,0.000000,0.000000,0.034640,0.029407,0.000009,0.500000,0.500000,0.049725,0.300000,0.300000,0.300000,4.100059,4.100059,5.729578,0.000000,0.000000,0.034937,0.034937
0.020000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000002,0.047742,-0.000171,0.000261,0.009244,0.054388,0.031091,0.000641,0.500036,0.500036,0.035386,0.300986,0.300986,0.299668,3.372127,3.372127,5.729612,-0.000001,0.000002,0.047742,0.047742
0.040000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000009,0.052266,-0.000292,0.000511,0.018033,0.068167,0.045249,0.001899,0.500145,0.500145,0.029422,0.302232,0.302232,0.297229,2.938127,2.938127,5.729670,-0.000006,0.000009,0.052266,0.052266
0.065000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000016,0.000029,0.055459,-0.000505,0.000908,0.028506,0.081671,0.053556,0.002285,0.500383,0.500383,0.026809,0.304033,0.304033,0.290506,2.642635,2.642635,5.729773,-0.000016,0.000029,0.055459,0.055459
0.080000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000024,0.000047,0.062323,-0.000615,0.001138,0.060606,0.087993,0.053897,0.002179,0.500581,0.500581,0.024880,0.305077,0.305077,0.282255,2.425168,2.425168,5.729853,-0.000024,0.000047,0.062323,0.062323
0.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000051,0.000080,0.064039,-0.001064,0.001605,0.063487,0.096685,0.071817,0.001695,0.500910,0.500910,0.024312,0.306613,0.306613,0.270952,2.256830,2.256830,5.729979,-0.000051,0.000080,0.064039,0.064039
0.120000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000085,0.000126,0.062661,-0.001525,0.002058,0.046098,0.106782,0.080755,0.001949,0.501314,0.501314,0.024184,0.308207,0.308207,0.257027,2.121708,2.121708,5.730128,-0.000085,0.000126,0.062661,0.062661
0.140000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000140,0.000194,0.061721,-0.002264,0.002761,0.033568,0.122959,0.093908,0.002082,0.501793,0.501793,0.024214,0.309853,0.309853,0.241381,2.010287,2.010287,5.730300,-0.000140,0.000194,0.061721,0.061721
0.160000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000196,0.000268,0.057582,-0.002550,0.003110,0.001371,0.131082,0.099226,0.002109,0.502349,0.502349,0.024243,0.311549,0.311549,0.224992,1.916471,1.916471,5.730495,-0.000196,0.000268,0.057582,0.057583
0.180000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000282,0.000382,0.057600,-0.003234,0.004160,0.001317,0.149805,0.110940,0.002463,0.502980,0.502980,0.024206,0.313291,0.313291,0.208745,1.836155,1.836155,5.730712,-0.000282,0.000382,0.057600,0.057602
0.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000365,0.000503,0.056148,-0.003684,0.005132,-0.007910,0.159050,0.115932,0.002706,0.503690,0.503690,0.024076,0.315079,0.315079,0.193233,1.766457,1.766457,5.730953,-0.000365,0.000503,0.056148,0.056151
0.220000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000515,0.000660,0.051128,-0.004752,0.006006,-0.036386,0.171958,0.134092,0.002694,0.504476,0.504476,0.023869,0.316908,0.316908,0.178876,1.705288,1.705288,5.731216,-0.000515,0.000660,0.051128,0.051135
0.240000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000709,0.000849,0.050592,-0.006022,0.007129,-0.035085,0.185223,0.155097,0.002780,0.505342,0.505342,0.023596,0.318777,0.318777,0.165844,1.651094,1.651094,5.731503,-0.000709,0.000849,0.050592,0.050604
0.260000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000878,0.001058,0.050432,-0.006867,0.008311,-0.031948,0.196270,0.161852,0.002982,0.506286,0.506286,0.023275,0.320687,0.320687,0.154179,1.602689,1.602689,5.731812,-0.000878,0.001058,0.050432,0.050451
0.280000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001047,0.001331,0.049622,-0.007514,0.009665,-0.032807,0.211898,0.166800,0.002173,0.507310,0.507310,0.022928,0.322637,0.322637,0.143872,1.559151,1.559152,5.732144,-0.001047,0.001331,0.049622,0.049650
0.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001265,0.001684,0.044995,-0.008531,0.011644,-0.051617,0.233132,0.175727,0.003095,0.508415,0.508415,0.022564,0.324624,0.324624,0.134815,1.519754,1.519755,5.732499,-0.001265,0.001684,0.044995,0.045045
0.320000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001526,0.002018,0.044826,-0.009596,0.013157,-0.047595,0.244192,0.186314,0.000781,0.509600,0.509600,0.022198,0.326650,0.326650,0.126925,1.483914,1.483914,5.732877,-0.001526,0.002018,0.044826,0.044897
0.340000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001794,0.002456,0.049705,-0.010565,0.014943,-0.021982,0.262583,0.193342,0.000892,0.510866,0.510866,0.021835,0.328711,0.328711,0.120073,1.451156,1.451157,5.733278,-0.001794,0.002456,0.049705,0.049798
0.360000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002130,0.002859,0.051072,-0.011930,0.016358,-0.014542,0.271600,0.204989,0.001106,0.512215,0.512215,0.021478,0.330810,0.330810,0.114142,1.421091,1.421091,5.733702,-0.002130,0.002859,0.051072,0.051196
0.380000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002480,0.003378,0.053034,-0.013222,0.018188,-0.005307,0.288579,0.214386,0.000483,0.513646,0.513646,0.021137,0.332943,0.332943,0.109040,1.393395,1.393395,5.734148,-0.002480,0.003378,0.053034,0.053199
0.400000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002903,0.003955,0.054473,-0.014726,0.020273,0.000840,0.303463,0.225679,0.000553,0.515160,0.515160,0.020808,0.335109,0.335109,0.104653,1.367796,1.367797,5.734618,-0.002903,0.003955,0.054473,0.054693
0.420000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003384,0.004544,0.051315,-0.016390,0.022202,-0.011104,0.316935,0.236996,0.000330,0.516758,0.516758,0.020499,0.337309,0.337309,0.100907,1.344066,1.344066,5.735110,-0.003384,0.004544,0.051315,0.051627
0.440000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003864,0.005281,0.051615,-0.018022,0.024901,-0.009290,0.335119,0.246995,0.000176,0.518440,0.518440,0.020207,0.339544,0.339544,0.097714,1.322008,1.322009,5.735625,-0.003864,0.005281,0.051615,0.052028
0.460000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004451,0.006019,0.049903,-0.019771,0.027051,-0.014946,0.348211,0.259819,0.000156,0.520208,0.520208,0.019931,0.341811,0.341811,0.094998,1.301456,1.301457,5.736163,-0.004451,0.006019,0.049903,0.050461
0.480000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005051,0.006772,0.047159,-0.021610,0.028927,-0.023484,0.359978,0.270582,0.000816,0.522060,0.522060,0.019676,0.344107,0.344107,0.092706,1.282265,1.282266,5.736724,-0.005051,0.006772,0.047159,0.047910
0.500000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005490,0.007361,0.046628,-0.022536,0.030271,-0.023656,0.359411,0.270379,0.000382,0.524018,0.524018,0.021097,0.346927,0.346927,0.095096,1.283699,1.283700,5.737308,-0.005490,0.007361,0.046628,0.047524
0.520000,1,0.000000,0.000000,0.000237,0.000000,0.000000,0.023685,0.000000,0.000000,0.000000,-0.005947,0.007976,0.046157,-0.023368,0.031441,-0.023480,0.359196,0.269638,0.001327,0.526067,0.526067,0.022590,0.349812,0.349812,0.097434,1.285232,1.285233,5.737914,-0.005947,0.007976,0.045920,0.046985
0.540000,1,0.000000,0.000000,0.000947,0.000000,0.000000,0.047354,0.000000,0.000000,0.000000,-0.006422,0.008611,0.045686,-0.024373,0.032389,-0.023614,0.359464,0.269815,0.002176,0.528208,0.528208,0.024146,0.352764,0.352763,0.099716,1.286865,1.286867,5.738544,-0.006422,0.008611,0.044738,0.046010
0.560000,1,0.000000,0.000000,0.002131,0.000000,0.000000,0.070994,0.000000,0.000000,0.000000,-0.006914,0.009268,0.044963,-0.025191,0.033644,-0.024386,0.359864,0.269896,0.002575,0.530443,0.530443,0.025759,0.355777,0.355777,0.101939,1.288598,1.288599,5.739196,-0.006914,0.009268,0.042832,0.044365
0.580000,1,0.000000,0.000000,0.003787,0.000000,0.000000,0.094589,0.000000,0.000000,0.000000,-0.007424,0.009950,0.044476,-0.026093,0.034939,-0.024378,0.360530,0.271121,0.002799,0.532772,0.532772,0.027431,0.358852,0.358851,0.104123,1.290429,1.290430,5.739871,-0.007424,0.009950,0.040689,0.042541
0.600000,1,0.000000,0.000000,0.005914,0.000000,0.000000,0.118124,0.000000,0.000000,0.000000,-0.007953,0.010659,0.043867,-0.026999,0.036300,-0.024643,0.361175,0.271197,0.002651,0.535197,0.535197,0.029149,0.361986,0.361985,0.106249,1.292359,1.292360,5.740568,-0.007953,0.010659,0.037953,0.040216
0.620000,1,0.000000,0.000000,0.008511,0.000000,0.000000,0.141584,0.000000,0.000000,0.000000,-0.008498,0.011393,0.043375,-0.027777,0.037407,-0.024544,0.360947,0.271803,0.002695,0.537718,0.537718,0.030922,0.365178,0.365178,0.108346,1.294387,1.294388,5.741289,-0.008498,0.011393,0.034863,0.037649
0.640000,1,0.000000,0.000000,0.011577,0.000000,0.000000,0.164955,0.000000,0.000000,0.000000,-0.009061,0.012149,0.042883,-0.028807,0.038386,-0.024646,0.360785,0.271973,0.002215,0.540336,0.540336,0.032741,0.368431,0.368430,0.110403,1.296512,1.296513,5.742032,-0.009061,0.012149,0.031306,0.034782
0.660000,1,0.000000,0.000000,0.015109,0.000000,0.000000,0.188222,0.000000,0.000000,0.000000,-0.009642,0.012924,0.042115,-0.029673,0.039550,-0.025552,0.360043,0.271141,0.002256,0.543053,0.543053,0.034597,0.371740,0.371740,0.112404,1.298735,1.298736,5.742798,-0.009642,0.012924,0.027006,0.031454
